epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3845,1.35847,3.55702,1.42062,0.00412,0.62963,0.19558,0.12732,0.84165,3.62167,1.07976,8.574e-05,8.574e-05,8.574e-05
2,23.7659,1.24501,3.26358,1.38683,0.00409,0.68519,0.21561,0.16735,0.87023,3.54382,1.06994,0.000183931,0.000183931,0.000183931
3,34.9272,1.28709,2.63796,1.36236,0.00368,0.55291,0.22391,0.18459,0.92111,3.40591,1.106,0.000280141,0.000280141,0.000280141
4,45.9833,1.22158,2.27226,1.29809,0.9958,0.1472,0.25182,0.19725,0.91486,3.3002,1.12968,0.000374371,0.000374371,0.000374371
5,57.1011,1.18528,2.16244,1.30941,1,0.05985,0.34204,0.20871,1.15902,3.31416,1.26866,0.00046662,0.00046662,0.00046662
6,68.9611,1.12874,1.97901,1.22319,0.73042,0.2341,0.33011,0.20199,1.09571,3.31462,1.24086,0.000556888,0.000556888,0.000556888
7,81.0192,1.25363,2.02927,1.30689,0.55286,0.10511,0.31102,0.1647,1.32146,3.19668,1.42336,0.000645176,0.000645176,0.000645176
8,92.6108,1.18952,1.98468,1.29605,0.82053,0.18254,0.26359,0.17957,1.29579,2.89509,1.4196,0.000731484,0.000731484,0.000731484
9,104.263,1.18514,1.97561,1.27547,0.7174,0.26347,0.30817,0.16882,1.23592,2.84173,1.46561,0.00081581,0.00081581,0.00081581
10,115.859,1.21654,1.84637,1.24999,0.39504,0.29101,0.30163,0.20233,1.3766,2.82677,1.49424,0.000898157,0.000898157,0.000898157
11,128.069,1.33653,2.01857,1.36162,0.62892,0.26453,0.31052,0.19352,1.50677,3.05602,1.64185,0.000978522,0.000978522,0.000978522
12,139.532,1.24572,1.93733,1.33506,0.40376,0.29365,0.26346,0.16692,1.49689,2.75096,1.63421,0.00105691,0.00105691,0.00105691
13,150.621,1.29194,1.9928,1.38644,0.4525,0.3836,0.38489,0.23696,1.33851,2.61481,1.47279,0.00113331,0.00113331,0.00113331
14,162.56,1.24332,1.9285,1.29398,0.43786,0.54339,0.37975,0.20668,1.45433,2.67451,1.6155,0.00120774,0.00120774,0.00120774
15,173.992,1.34239,1.96282,1.41632,0.47836,0.52748,0.48975,0.25365,1.50084,2.52386,1.63707,0.00123094,0.00123094,0.00123094
16,185.366,1.23658,1.87493,1.31477,0.65093,0.50529,0.54361,0.3431,1.38591,2.27247,1.54129,0.00121679,0.00121679,0.00121679
17,196.742,1.16374,1.7843,1.27061,0.74865,0.45503,0.56736,0.35045,1.25909,2.31363,1.38709,0.00120265,0.00120265,0.00120265
18,208.261,1.23485,1.71528,1.27481,0.75147,0.47957,0.5885,0.31648,1.33486,2.26809,1.43814,0.0011885,0.0011885,0.0011885
19,219.859,1.2687,1.79419,1.31966,0.70005,0.5582,0.58227,0.35262,1.29602,2.16286,1.40585,0.00117435,0.00117435,0.00117435
20,231.547,1.19805,1.73582,1.28068,0.70449,0.63556,0.65553,0.38638,1.35892,2.22338,1.45715,0.00116021,0.00116021,0.00116021
21,242.861,1.20018,1.62372,1.27524,0.76201,0.60053,0.66515,0.39682,1.32214,2.26259,1.40772,0.00114606,0.00114606,0.00114606
22,254.075,1.27584,1.75078,1.32,0.61333,0.67294,0.65048,0.35399,1.34347,2.15472,1.42772,0.00113191,0.00113191,0.00113191
23,265.234,1.0528,1.45112,1.15518,0.65282,0.66138,0.621,0.38251,1.22761,1.95987,1.28603,0.00111776,0.00111776,0.00111776
24,276.379,1.08223,1.5561,1.19563,0.62722,0.60552,0.59861,0.35024,1.27528,2.08294,1.28965,0.00110362,0.00110362,0.00110362
25,287.509,1.20875,1.6337,1.26453,0.48569,0.69758,0.60045,0.34682,1.27995,1.95489,1.27988,0.00108947,0.00108947,0.00108947
26,299.126,1.105,1.58147,1.21697,0.61573,0.55287,0.56648,0.37349,1.3761,2.17384,1.35841,0.00107532,0.00107532,0.00107532
27,310.492,1.12626,1.52792,1.22614,0.68967,0.5,0.5781,0.37367,1.3629,2.52951,1.36018,0.00106118,0.00106118,0.00106118
28,322.075,1.14513,1.52316,1.25228,0.68792,0.56878,0.54965,0.38584,1.22209,2.53552,1.29823,0.00104703,0.00104703,0.00104703
29,334.019,1.17183,1.54279,1.26582,0.63558,0.41915,0.52548,0.36325,1.24989,2.4428,1.33933,0.00103288,0.00103288,0.00103288
30,345.421,1.1321,1.53494,1.22395,0.72503,0.42328,0.57511,0.3644,1.29896,2.28567,1.37284,0.00101873,0.00101873,0.00101873
31,356.663,1.08802,1.45171,1.2235,0.82979,0.51058,0.63958,0.37914,1.29417,2.14621,1.30188,0.00100459,0.00100459,0.00100459
32,367.946,1.11462,1.44172,1.25894,0.79949,0.51996,0.63427,0.40179,1.10666,1.93627,1.18723,0.00099044,0.00099044,0.00099044
33,379.216,1.08702,1.40371,1.19996,0.67778,0.54609,0.65215,0.41678,1.07818,1.8547,1.16128,0.000976293,0.000976293,0.000976293
