epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8942,1.45224,3.88309,1.36659,0.00578,0.3864,0.09382,0.06835,0.85937,3.74842,0.79142,0.00013332,0.00013332,0.00013332
2,51.6403,1.51577,3.23922,1.30781,0.49507,0.08571,0.12481,0.09508,0.84836,3.57895,0.79487,0.000275,0.000275,0.000275
3,77.9374,1.48462,2.67516,1.29535,0.97464,0.08841,0.21035,0.15778,0.93059,3.33393,0.80728,0.000413821,0.000413821,0.000413821
4,106.576,1.44984,2.49662,1.25306,0.00697,0.5179,0.17859,0.12782,1.21213,3.39553,0.96445,0.000549782,0.000549782,0.000549782
5,133.456,1.46766,2.29062,1.25395,1,0.02571,0.24836,0.17312,0.95296,3.28164,0.98151,0.000682883,0.000682883,0.000682883
6,160.217,1.60051,2.36207,1.30762,0.61997,0.13545,0.28622,0.18853,1.32526,3.28683,1.16293,0.000813124,0.000813124,0.000813124
7,186.233,1.53033,2.26512,1.30953,0.39841,0.26077,0.2814,0.18203,1.3766,2.71981,1.13365,0.000940506,0.000940506,0.000940506
8,212.777,1.47412,2.16502,1.26128,0.51242,0.28282,0.34712,0.22597,1.05772,2.74337,0.95755,0.00103401,0.00103401,0.00103401
9,236.91,1.49285,2.216,1.31391,0.4557,0.44025,0.44567,0.30049,0.94991,2.20538,0.91278,0.00102301,0.00102301,0.00102301
10,261.06,1.39271,2.07738,1.22328,0.61402,0.3443,0.42923,0.21093,1.21789,2.66803,1.01375,0.00101201,0.00101201,0.00101201
11,285.245,1.46924,2.06934,1.28054,0.53849,0.51116,0.4619,0.22965,1.51444,2.51935,1.15437,0.00100101,0.00100101,0.00100101
12,309.148,1.3959,2.07889,1.25685,0.47282,0.50277,0.51894,0.32621,1.16069,5.20043,1.01605,0.000990012,0.000990012,0.000990012
13,333.091,1.37841,1.99741,1.24812,0.43188,0.5987,0.51741,0.30341,0.91774,4.11906,0.88651,0.000979013,0.000979013,0.000979013
14,357.195,1.32897,1.91149,1.2089,0.57546,0.46637,0.49482,0.30494,1.08032,2.90871,0.94829,0.000968014,0.000968014,0.000968014
15,380.96,1.37801,1.83356,1.23175,0.52015,0.46836,0.45386,0.26751,1.13942,2.49613,1.00121,0.000957015,0.000957015,0.000957015
16,404.989,1.33219,1.8493,1.20061,0.49919,0.46725,0.47557,0.30789,1.20594,3.20031,1.09052,0.000946016,0.000946016,0.000946016
17,428.629,1.30632,1.87252,1.22157,0.53637,0.41876,0.49974,0.31289,1.32228,2.86643,1.21187,0.000935018,0.000935018,0.000935018
18,452.531,1.36197,1.8476,1.24828,0.67285,0.49381,0.57898,0.351,1.38609,2.42904,1.4726,0.000924019,0.000924019,0.000924019
19,476.413,1.39086,1.921,1.26152,0.68067,0.55051,0.61812,0.37778,1.12079,2.81026,1.1796,0.00091302,0.00091302,0.00091302
20,500.858,1.36896,1.75126,1.2341,0.71165,0.54894,0.61027,0.35539,1.03264,2.01789,0.92804,0.000902021,0.000902021,0.000902021
21,525.01,1.35073,1.7127,1.20217,0.66853,0.57672,0.59017,0.35321,0.97451,2.01091,0.88416,0.000891022,0.000891022,0.000891022
22,549.025,1.32721,1.69198,1.21307,0.72714,0.60958,0.6695,0.41734,0.97501,1.84418,0.9149,0.000880023,0.000880023,0.000880023
23,573.038,1.35445,1.71297,1.21918,0.76983,0.58397,0.66801,0.43915,0.99885,1.87253,1.02256,0.000869024,0.000869024,0.000869024
24,596.867,1.30638,1.67916,1.18733,0.83489,0.50206,0.60913,0.41449,1.01757,2.63694,1.11093,0.000858025,0.000858025,0.000858025
25,620.747,1.33908,1.63345,1.19427,0.79968,0.50374,0.61354,0.40405,1.17911,2.33957,1.37273,0.000847026,0.000847026,0.000847026
26,644.986,1.33757,1.6585,1.18297,0.86162,0.5591,0.65737,0.43275,1.22297,1.88491,1.30297,0.000836027,0.000836027,0.000836027
27,669.102,1.31712,1.6295,1.17549,0.82394,0.59734,0.68806,0.44677,1.1277,2.08172,1.14775,0.000825029,0.000825029,0.000825029
28,693.019,1.25011,1.56294,1.16458,0.7091,0.58857,0.65858,0.42226,1.11533,2.10057,1.13009,0.00081403,0.00081403,0.00081403
29,716.892,1.36263,1.63697,1.19266,0.78815,0.60728,0.6694,0.43295,1.09483,1.95949,0.94481,0.000803031,0.000803031,0.000803031
30,740.661,1.28623,1.67808,1.19566,0.84892,0.61934,0.72517,0.42007,1.22725,1.83605,1.01728,0.000792032,0.000792032,0.000792032
31,764.528,1.28549,1.5882,1.1682,0.76846,0.59013,0.68391,0.41673,1.26476,1.96789,1.14164,0.000781033,0.000781033,0.000781033
32,788.425,1.24811,1.60924,1.15367,0.79245,0.50259,0.61828,0.4017,1.30268,2.3642,1.22592,0.000770034,0.000770034,0.000770034
33,812.337,1.27506,1.6197,1.19602,0.69437,0.6044,0.63758,0.39388,1.32277,2.17341,1.37749,0.000759035,0.000759035,0.000759035
34,836.313,1.2223,1.51564,1.15982,0.71847,0.62058,0.67211,0.39971,1.28967,2.0299,1.16871,0.000748036,0.000748036,0.000748036
35,859.928,1.19458,1.44599,1.11972,0.86036,0.58302,0.70196,0.42495,1.19973,2.13228,1.12851,0.000737037,0.000737037,0.000737037
36,883.528,1.24883,1.50847,1.14375,0.80578,0.59627,0.70631,0.43536,1.36387,2.16173,1.5053,0.000726038,0.000726038,0.000726038
37,907.011,1.24484,1.50191,1.1385,0.71798,0.54468,0.65187,0.40562,1.40522,2.14207,1.43903,0.00071504,0.00071504,0.00071504
38,930.619,1.22402,1.53623,1.15154,0.77109,0.5156,0.62324,0.3757,1.15028,2.01157,1.04209,0.000704041,0.000704041,0.000704041
39,954.197,1.18292,1.40176,1.1019,0.66236,0.65626,0.67132,0.43779,1.02508,1.78409,0.9209,0.000693042,0.000693042,0.000693042
40,978.496,1.21737,1.37797,1.13315,0.69568,0.66945,0.69502,0.44681,1.12681,1.85907,1.06598,0.000682043,0.000682043,0.000682043
41,1002.26,1.1656,1.45344,1.12567,0.78044,0.65014,0.71441,0.47145,1.15651,2.65855,1.14962,0.000671044,0.000671044,0.000671044
42,1024.2,1.09105,1.32455,1.07258,0.78408,0.62601,0.67818,0.4178,1.51536,2.49687,1.35786,0.000660045,0.000660045,0.000660045
43,1045.96,1.1576,1.34875,1.0966,0.9343,0.53115,0.71272,0.44481,1.20721,2.34244,1.34285,0.000649046,0.000649046,0.000649046
44,1067.98,1.2258,1.44437,1.1417,0.69363,0.68158,0.67494,0.40501,1.21668,2.34752,1.21076,0.000638047,0.000638047,0.000638047
45,1090.42,1.17343,1.41006,1.09593,0.85188,0.59968,0.68376,0.44125,1.39784,2.02313,1.17325,0.000627048,0.000627048,0.000627048
